Q1,Q2A,Q2B,Q2C,Q2D,Q3A,Q3B,Q3C,Q3D,Q3E
1,2,1,1,3,1,2,2,3,4
18,2,3,3,3,2,2,2,3,3
9,3,4,3,4,2,3,3,4,3
0,4,4,3,4,2,2,3,2,2
1,1,3,2,4,2,3,1,3,4
8,2,3,2,2,3,3,2,3,3
4,2,4,3,2,3,3,3,3,4
4,3,3,2,1,3,3,2,1,1
7,3,3,2,4,4,3,4,2,4
,3,3,4,4,3,4,4,3,3
,3,1,3,2,4,4,4,1,2
,2,3,2,4,2,3,3,3,4
,1,1,2,3,2,3,3,2,2
,4,4,4,4,4,4,4,4,4
,2,3,1,3,2,4,1,4,4
,4,4,1,1,4,4,2,2,2
,1,2,2,3,1,3,2,4,3
,2,2,3,3,2,3,2,4,2
,1,3,1,3,1,2,1,4,1
,4,4,4,4,4,4,4,4,4
,4,4,4,4,4,4,4,4,4
,1,2,2,4,4,4,1,1,2
,4,3,3,1,4,3,4,2,3
,4,3,4,4,4,4,4,2,1
,4,4,3,2,2,2,2,3,4
,2,3,3,4,4,4,3,3,4
,1,2,2,3,1,3,2,2,3
,4,2,4,4,4,4,4,2,2
,4,4,4,4,4,4,4,1,2
,4,4,4,4,4,4,4,1,4
,3,4,2,4,4,4,3,3,3
,1,2,3,3,1,3,NA,NA,NA
,4,2,3,1,4,3,4,2,1
,1,2,2,4,2,2,2,3,3
,4,4,4,4,4,4,4,2,4
,3,3,2,4,4,3,2,3,2
,1,2,3,4,4,4,1,2,3
,4,3,3,4,4,2,4,4,2
,2,2,3,3,3,3,4,2,2
,4,4,4,2,4,4,4,2,1
,2,1,2,3,3,3,4,3,3
,3,2,3,4,4,4,3,3,4
,3,2,3,4,2,3,3,1,1
,1,3,4,2,2,3,4,1,1
,2,2,3,1,2,1,1,3,4
,4,4,3,3,4,4,3,4,4
,4,3,4,4,4,3,3,3,3
,2,2,2,4,2,2,2,4,4
,1,1,1,1,1,1,1,1,1
,2,3,1,4,2,3,1,4,4
,3,3,2,3,3,3,2,3,4
,2,2,3,4,2,3,2,4,2
,1,1,2,2,2,3,3,2,3
,1,2,1,3,1,2,1,1,3
,4,3,4,4,4,4,4,4,4
,28,33,32,42,31,44,31,31,34
