ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): Maine

School Name,State Name [Public School] Latest available year,Lowest Grade Offered [Public School] 2008-09,Highest Grade Offered [Public School] 2008-09,Total Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2008-09,Female Students [Public School] 2008-09,Male Students [Public School] 2008-09,State Name [Public School] 2008-09,Pupil/Teacher Ratio [Public School] 2008-09
ABRAHAM LINCOLN SCHOOL,Maine,Prekindergarten,3rd Grade,230,96,105,125,MAINE,12.90
ACADEMY HILL SCHOOL,Maine,3rd Grade,6th Grade,211,131,96,115,MAINE,14.40
ACTON ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,275,106,136,139,MAINE,11.20
ADAMS SCHOOL,Maine,Kindergarten,8th Grade,58,14,28,30,MAINE,8.20
AGNES GRAY SCHOOL,Maine,2nd Grade,6th Grade,90,55,39,51,MAINE,10.10
AIRLINE COMMUNITY SCHOOL,Maine,Prekindergarten,8th Grade,47,29,18,29,MAINE,9.60
ALBERT S HALL SCHOOL,Maine,4th Grade,5th Grade,266,147,121,145,MAINE,12.10
ALBION ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,155,88,77,78,MAINE,14.10
ALEXANDER ELEMENTARY,Maine,Prekindergarten,8th Grade,62,28,32,30,MAINE,9.00
ALFRED ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,212,38,116,96,MAINE,12.50
ALTON ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,52,19,23,29,MAINE,8.80
AMES ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,139,64,67,72,MAINE,13.90
ANDOVER ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,42,27,18,24,MAINE,10.00
APPLETON VILLAGE SCHOOL,Maine,Kindergarten,8th Grade,131,52,63,68,MAINE,10.30
ARTHUR R. GOULD SCH--LCYDC,Maine,7th Grade,12th Grade,1,="0",="0",1,MAINE,="0.00"
ASA C ADAMS SCHOOL,Maine,Kindergarten,5th Grade,239,63,118,121,MAINE,9.80
ASHLAND CENTRAL SCHOOL,Maine,Prekindergarten,6th Grade,157,89,75,82,MAINE,11.70
ASHLAND COMMUNITY HIGH SCHOOL,Maine,6th Grade,12th Grade,172,95,89,83,MAINE,11.00
ATHENS ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,150,92,66,84,MAINE,14.20
AUBURN MIDDLE SCHOOL,Maine,7th Grade,8th Grade,518,226,258,260,MAINE,9.30
BALDWIN CONSOLIDATED SCHOOL,Maine,Kindergarten,4th Grade,79,27,43,36,MAINE,12.00
BANGOR HIGH SCHOOL,Maine,9th Grade,12th Grade,1348,396,676,672,MAINE,13.10
BATH MIDDLE SCHOOL,Maine,6th Grade,8th Grade,381,142,190,191,MAINE,11.00
BATH REGIONAL VOCATIONAL CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
BAY RIDGE ELEMENTARY,Maine,Prekindergarten,8th Grade,58,28,20,38,MAINE,11.80
BEALS ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,36,19,10,26,MAINE,6.80
BEATRICE RAFFERTY SCHOOL,Maine,Prekindergarten,8th Grade,100,91,60,40,MAINE,5.60
BEECH HILL SCHOOL,Maine,Kindergarten,8th Grade,94,37,45,49,MAINE,7.60
BELFAST AREA HIGH SCHOOL,Maine,9th Grade,12th Grade,641,268,323,318,MAINE,12.70
BELGRADE CENTRAL SCHOOL,Maine,Prekindergarten,6th Grade,300,99,136,164,MAINE,14.90
BENJAMIN WENTWORTH INTERMEDIATE,Maine,3rd Grade,5th Grade,730,98,351,379,MAINE,12.30
BENTON ELEMENTARY SCHOOL,Maine,1st Grade,6th Grade,668,355,330,338,MAINE,11.70
BIDDEFORD HIGH SCHOOL,Maine,9th Grade,12th Grade,936,300,458,478,MAINE,15.40
BIDDEFORD INTERMEDIATE SCHOOL,Maine,4th Grade,5th Grade,415,216,211,204,MAINE,12.10
BIDDEFORD MIDDLE SCHOOL,Maine,6th Grade,8th Grade,623,280,311,312,MAINE,10.50
BIDDEFORD PRIMARY SCHOOL,Maine,1st Grade,3rd Grade,601,316,279,322,MAINE,12.10
BIDDEFORD REGIONAL CTR OF TECH,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
