State Name,Pupil/Teacher Ratio [State] 2009-10,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2009-10,Averaged Freshman Graduation Rate [State] 2009-10,Total Free and Reduced Lunch Students [Public School] 2009-10,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2009-10,Total Students [Public School] 2009-10,Total Students [State] 2009-10,PopDens
ALABAMA,15.77,9667,71.8,411067,19497,748836,748889,94.38
ALASKA,16.29,17759,75.5,47605,14670,131661,131661,1.24
ARIZONA,20.75,9343,74.7,508137,83625,1078585,1077831,56.27
ARKANSAS,12.9,10738,75,286477,29752,480559,480559,56.04
CALIFORNIA,19.8,10239,78.2,3385856,1779028,6164614,6263438,239.15
COLORADO,16.97,10635,79.8,319404,95141,831906,832368,48.52
CONNECTICUT,12.94,17546,75.1,179651,30090,563801,563968,738.09
DELAWARE,14.68,14070,75.5,58375,7685,124809,126801,460.82
DISTRICT OF COLUMBIA,11.86,24785,59.9,48330,5890,69219,69433,9856.48
FLORIDA,14.33,9891,70.8,1408541,230540,2634522,2634522,350.61
GEORGIA,14.39,10695,69.9,934899,86755,1667685,1667685,168.44
HAWAII,15.71,14234,75.4,77947,18097,180196,180196,211.80
IDAHO,18.18,8044,84,118932,15965,276299,276299,18.97
ILLINOIS,15.19,13434,81.9,901541,179857,2096927,2104175,231.10
INDIANA,16.81,13034,77.2,474326,49271,1046661,1046661,180.98
IOWA,13.72,11266,87.9,179921,20867,482123,491842,54.54
KANSAS,13.67,11564,84.5,214437,38011,469293,474489,34.90
KENTUCKY,16.2,10106,79.9,370264,14244,676286,680089,109.90
LOUISIANA,13.92,11891,68.8,454026,13012,690383,690915,104.93
MAINE,11.59,13950,82.8,76715,4478,184232,189225,43.07
MARYLAND,14.51,15738,82.2,324904,43179,848412,848412,594.77
MASSACHUSETTS,13.69,16269,82.6,315153,51667,957053,957053,839.43
MICHIGAN,17.79,11765,75.9,741028,58740,1616662,1649082,174.81
MINNESOTA,15.84,12710,88.2,296756,61396,836936,837053,66.61
MISSISSIPPI,14.88,9023,63.8,344894,6061,492481,492481,63.24
MISSOURI,13.54,11065,83.7,401755,20473,916468,917982,87.12
MONTANA,13.48,11398,81.9,56201,3807,141807,141807,6.80
NEBRASKA,13.27,13034,83.8,121811,19339,295261,295368,23.77
NEVADA,19.41,10048,57.8,182399,67874,435359,428947,24.60
NEW HAMPSHIRE,12.73,14254,86.3,46246,3821,197140,197140,147.05
NEW JERSEY,12.11,18521,87.2,444533,55656,1386431,1396029,1195.49
NEW MEXICO,14.72,11246,67.3,218203,51493,332584,334419,16.98
NORTH CAROLINA,14.12,8802,76.9,720798,106335,1477354,2766052,196.13
NORTH DAKOTA,11.36,13211,88.4,30693,3031,93055,1483397,9.75
OHIO,15.84,12883,81.4,709928,37478,1762311,95073,282.34
OKLAHOMA,15.37,8705,78.5,384357,39285,654481,1764297,54.69
OREGON,20.26,10657,76.3,272196,61865,553846,654802,39.91
PENNSYLVANIA,13.64,14787,84.1,662900,46352,1761333,582839,283.90
RHODE ISLAND,12.77,15589,76.4,60179,6775,143674,1785993,1018.14
SOUTH CAROLINA,15.39,10838,68.2,394018,34685,723142,145118,153.87
SOUTH DAKOTA,13.27,10509,81.8,45956,4005,123708,723143,10.74
TENNESSEE,14.88,8769,80.4,516062,27550,972428,123713,153.90
TEXAS,14.56,10318,78.9,2448999,726062,4849221,972549,96.26
UTAH,22.31,7925,78.6,244374,47390,582793,4850210,33.64
VERMONT,10.47,17916,91.4,29529,1525,86137,571586,67.89
VIRGINIA,17.58,11798,81.2,444715,86751,1245285,91451,202.61
WASHINGTON,19.37,11414,77.2,428258,65101,1035339,1245340,101.19
WEST VIRGINIA,13.93,12142,78.3,147036,1609,282661,1035347,77.09
WISCONSIN,14.93,12822,91.1,323510,45168,872321,282662,105.01
WYOMING,12.3,19497,80.3,31054,2099,88152,872436,5.81
